StockCode,Description,NumberOfOrders,NumberOfCustomers,TotalQty,TotalPrice,AvgUnitPrice
22961,JAM MAKING SET PRINTED,1162,1162,16081,25235.23,1.5692575088613891
22962,JAM JAR WITH PINK LID,363,363,3818,3221.94,0.8438816134101624
22963,JAM JAR WITH GREEN LID,319,319,3176,2687.98,0.8463413098236776
22964,3 PIECE SPACEBOY COOKIE CUTTER SET,385,385,2614,5451.6900000000005,2.085573833205815
22965,3 TRADITIONAl BISCUIT CUTTERS  SET,235,235,1335,2835.01,2.123602996254682
22966,GINGERBREAD MAN COOKIE CUTTER,669,669,7443,9205.9,1.2368534193201666
22967,SET 3 SONG BIRD PAPER EGGS ASSORTED,140,140,1151,3212.4100000000003,2.7909730668983497
22968,ROSE COTTAGE KEEPSAKE BOX ,198,198,775,7673.08,9.900748387096774
22969,HOMEMADE JAM SCENTED CANDLES,649,649,12392,18602.75,1.5011902840542286
22970,LONDON BUS COFFEE MUG,319,319,4351,10191.15,2.342254654102505
22971,QUEENS GUARD COFFEE MUG,277,277,2415,5811.64,2.4064761904761904
22972,CHILDREN'S SPACEBOY MUG,236,236,1764,3016.49,1.7100283446712017
22973,CHILDREN'S CIRCUS PARADE MUG,145,145,1239,2109.6099999999997,1.7026715092816784
22974,CHILDRENS DOLLY GIRL MUG,209,209,1587,2711.5399999999995,1.7085948330182732
22975,SPACEBOY CHILDRENS EGG CUP,186,186,1203,1623.38,1.3494430590191189
22976,CIRCUS PARADE CHILDRENS EGG CUP ,143,143,1054,1374.01,1.3036148007590134
22977,DOLLY GIRL CHILDRENS EGG CUP,136,136,950,1252.61,1.318536842105263
22978,PANTRY ROLLING PIN,246,246,2390,9296.119999999999,3.889589958158995
22979,PANTRY WASHING UP BRUSH,383,383,4006,6284.42,1.5687518721917124
22980,PANTRY SCRUBBING BRUSH,293,293,2285,3790.9099999999994,1.659041575492341
22981,PANTRY APPLE CORER,104,104,466,696.88,1.495450643776824
22982,PANTRY PASTRY BRUSH,213,213,1131,1515.02,1.3395402298850574
22983,CARD BILLBOARD FONT,444,444,5121,2192.84,0.4282054286272213
22984,CARD GINGHAM ROSE ,163,163,2717,1106.17,0.40712918660287084
22985,WRAP BILLBOARD FONTS DESIGN,99,99,3782,1500.44,0.3967318878900053
22986,WRAP GINGHAM ROSE ,156,156,4080,1701.6,0.41705882352941176
22987,WRAP SUMMER ROSE DESIGN,5,5,102,42.84,0.42000000000000004
22988,SOLDIERS EGG CUP ,423,423,9025,10805.53,1.19728864265928
22989,SET 2 PANTRY DESIGN TEA TOWELS,372,372,2791,8934.27,3.2010999641705484
22990,COTTON APRON PANTRY DESIGN,174,174,512,2388.48,4.665
22991,GIRAFFE WOODEN RULER,277,277,3175,6422.889999999999,2.0229574803149606
22992,REVOLVER WOODEN RULER ,349,349,4520,9186.44,2.0323982300884955
22993,SET OF 4 PANTRY JELLY MOULDS,1075,1075,12604,16422.23,1.3029379562043795
22994,TRAVEL CARD WALLET RETROSPOT,223,223,2167,945.6,0.4363636363636364
22995,TRAVEL CARD WALLET SUKI,267,267,2340,1041.42,0.4450512820512821
22996,TRAVEL CARD WALLET VINTAGE TICKET,407,407,4787,2089.05,0.4364006684771256
22997,TRAVEL CARD WALLET UNION JACK,224,224,2517,1083.17,0.430341676599126
22998,TRAVEL CARD WALLET KEEP CALM,536,536,12313,5240.5599999999995,0.4256119548444733
22999,TRAVEL CARD WALLET VINTAGE LEAF,221,221,2957,1279.05,0.43254988163679403
23000,TRAVEL CARD WALLET TRANSPORT,281,281,3132,1352.74,0.43190932311621966
23002,TRAVEL CARD WALLET SKULLS,195,195,2017,871.53,0.4320922161626177
23003,TRAVEL CARD WALLET VINTAGE ROSE ,53,53,542,226.2,0.41734317343173427
23004,TRAVEL CARD WALLET PANTRY,225,225,1827,829.66,0.45411056376573616
23005,TRAVEL CARD WALLET I LOVE LONDON,241,241,4782,2147.13,0.44900250941028863
23006,TRAVEL CARD WALLET FLOWER MEADOW,176,176,1686,732.51,0.4344661921708185
23007, SPACEBOY BABY GIFT SET,186,186,493,7656.999999999999,15.531440162271803
23008,DOLLY GIRL BABY GIFT SET,135,135,428,6634.86,15.502009345794391
23009,I LOVE LONDON BABY GIFT SET,102,102,263,4082.5199999999995,15.522889733840302
23010,CIRCUS PARADE BABY GIFT SET,113,113,313,4845.7,15.4814696485623
23012,GLASS APOTHECARY BOTTLE PERFUME,249,249,1066,4177.360000000001,3.9187242026266422
23013,GLASS APOTHECARY BOTTLE TONIC,224,224,919,3654.4100000000003,3.9765070729053322
23014,GLASS APOTHECARY BOTTLE ELIXIR,208,208,849,3391.9300000000003,3.995206124852768
23015,CORDIAL GLASS JUG,21,21,34,288.88,8.496470588235294
23016,GLASS TWIST BON BON JAR,25,25,71,555.3,7.82112676056338
23017,APOTHECARY MEASURING JAR,23,23,66,813.78,12.33
23018,LARGE APOTHECARY MEASURING JAR ,21,21,51,612.16,12.00313725490196
23019,SMALL APOTHECARY MEASURING JAR ,28,28,81,629.0500000000001,7.766049382716051
23020,GLASS  SONGBIRD STORAGE JAR,82,82,174,2118.19,12.173505747126438
23021,GLASS BONNE JAM JAR,27,27,121,504.97,4.173305785123967
23022,SMALL BONNE JAM JAR  T-LIGHT HOLDER,24,24,392,745.76,1.9024489795918367
23023,RIDGED BONNE JAM JAR T-LIGHT HOLDER,26,26,284,454.31999999999994,1.5997183098591548
23024,LARGE BONNE JAM JAR  T-LIGHT HOLDER,11,11,253,662.8700000000001,2.6200395256917
23025,DRAWER KNOB VINTAGE GLASS BALL,55,55,344,748.32,2.1753488372093024
23026,DRAWER KNOB VINTAGE GLASS STAR,64,64,543,1171.92,2.158232044198895
23027,DRAWER KNOB VINTAGE GLASS HEXAGON,30,30,295,627.95,2.1286440677966105
23028,DRAWER KNOB CRACKLE GLAZE BLUE,139,139,1368,2375.4799999999996,1.7364619883040933
23029,DRAWER KNOB CRACKLE GLAZE GREEN,164,164,1324,2257.72,1.705226586102719
23031,DRAWER KNOB CRACKLE GLAZE PINK,164,164,1276,2149.0,1.6841692789968652
23032,DRAWER KNOB CRACKLE GLAZE IVORY,210,210,2296,3800.8799999999997,1.6554355400696863
23033,DRAWER KNOB CERAMIC RED,74,74,720,1067.6,1.4827777777777778
23034,DRAWER KNOB CERAMIC BLACK,89,89,985,1457.37,1.4795634517766496
23035,DRAWER KNOB CERAMIC IVORY,192,192,2200,3213.04,1.4604727272727274
23036,T-LIGHT HOLDER SILVER PETIT FOUR ,16,16,185,233.67,1.263081081081081
23037,CANDLE HOLDER SILVER MADELINE,20,20,196,325.15999999999997,1.6589795918367345
23038,T-LIGHT HOLDER SILVER SAUCER,8,8,44,42.919999999999995,0.9754545454545454
23039,T-LIGHT HOLDER SILVER HEART HANDLE,29,29,193,388.01,2.010414507772021
23040,PAPER LANTERN 9 POINT SNOW STAR ,41,41,253,1394.03,5.51
23041,PAPER LANTERN 9 POINT SNOW STAR,54,54,248,1078.88,4.3503225806451615
23042,PAPER LANTERN 7 POINT SNOW STAR,29,29,93,645.01,6.935591397849462
23043,PAPER LANTERN 9 POINT HOLLY STAR L,23,23,81,543.51,6.71
23044,PAPER LANTERN 9 POINT HOLLY STAR S,25,25,104,435.74,4.189807692307692
23045,PAPER LANTERN 5 POINT STAR MOON ,26,26,98,414.98,4.234489795918368
23046,PAPER LANTERN 9 POINT DELUXE STAR,36,36,349,2111.49,6.050114613180515
23047,PAPER LANTERN 5 POINT SEQUIN STAR,25,25,58,333.5,5.75
23048,SET OF 10 LANTERNS FAIRY LIGHT STAR,104,104,548,2248.02,4.102226277372263
23049,RECYCLED ACAPULCO MAT RED,184,184,453,3872.09,8.54766004415011
23050,RECYCLED ACAPULCO MAT GREEN,206,206,496,4278.3,8.625604838709679
23051,RECYCLED ACAPULCO MAT BLUE,164,164,363,3206.99,8.834683195592286
23052,RECYCLED ACAPULCO MAT TURQUOISE,278,278,653,5941.09,9.098147013782542
23053,RECYCLED ACAPULCO MAT PINK,165,165,364,3254.32,8.940439560439561
23054,RECYCLED ACAPULCO MAT LAVENDER,131,131,296,2613.18,8.82831081081081
23055,IVORY CHANDELIER T-LIGHT HOLDER,39,39,226,710.71,3.1447345132743365
23056,FLOWERS CHANDELIER T-LIGHT HOLDER,42,42,387,1057.8,2.7333333333333334
23057,BEADED CHANDELIER T-LIGHT HOLDER,47,47,343,1147.3700000000001,3.345102040816327
23058,CHRISTMAS HANGING SNOWFLAKE,48,48,490,430.86,0.8793061224489797
23060,HEART BEADED TRELLIS DECORATION,42,42,249,528.1700000000001,2.1211646586345383
23061,VINTAGE EMBOSSED HEART,117,117,1030,1351.43,1.3120679611650485
23064,CINDERELLA CHANDELIER ,31,31,150,2203.51,14.690066666666668
23065,LARGE DECO JEWELLERY STAND,100,100,273,3427.44,12.554725274725275
23066,SMALL DECO JEWELLERY STAND,86,86,258,2129.56,8.254108527131782
23067,HANGING ENGRAVED METAL HEART,78,78,297,1249.1100000000001,4.205757575757576
23068,ALUMINIUM STAMPED HEART,136,136,813,1976.89,2.43159901599016
23069,EDWARDIAN PHOTO FRAME,32,32,90,568.71,6.319000000000001
23070,EDWARDIAN HEART PHOTO FRAME,44,44,160,709.5400000000001,4.4346250000000005
23071,MARIE ANTOINETTE TRINKET BOX GOLD,21,21,219,821.1,3.749315068493151
23072,MARIE ANTOINETTE TRINKET BOX SILVER,30,30,238,889.76,3.7384873949579833
23073,GEORGIAN TRINKET BOX,62,62,143,1706.5,11.933566433566433
23074,EMBOSSED HEART TRINKET BOX,49,49,244,543.11,2.225860655737705
23075,PARLOUR CERAMIC WALL HOOK,86,86,443,1839.95,4.153386004514672
23076,ICE CREAM SUNDAE LIP GLOSS,273,273,8072,9930.76,1.2302725470763132
23077,DOUGHNUT LIP GLOSS ,340,340,10355,13645.77,1.31779526798648
23078,ICE CREAM PEN LIP GLOSS ,257,257,6783,8493.34,1.2521509656494176
23079,TOADSTOOL BEDSIDE LIGHT ,111,111,239,2118.0499999999997,8.862133891213388
23080,RED METAL BOX TOP SECRET,260,260,1068,9068.12,8.490749063670412
23081,GREEN METAL BOX ARMY SUPPLIES,142,142,478,3997.0,8.361924686192468
23082,SET 6 PAPER TABLE LANTERN HEARTS ,296,296,2305,8474.35,3.6765075921908896
23083,SET 6 PAPER TABLE LANTERN STARS ,248,248,1870,7040.4800000000005,3.76496256684492
23084,RABBIT NIGHT LIGHT,995,995,30680,66756.59,2.175899282920469
23085,ANTIQUE SILVER BAUBLE LAMP  ,81,81,368,3506.48,9.528478260869566
23086,ZINC  STAR T-LIGHT HOLDER ,48,48,1212,1435.18,1.1841419141914191
23087,ZINC  HEART T-LIGHT HOLDER,70,70,853,1071.91,1.2566354044548653
23088,ZINC HEART FLOWER T-LIGHT HOLDER,79,79,795,1033.28,1.2997232704402515
23089,GLASS BON BON JAR,230,230,2340,4192.08,1.7914871794871794
23090,VINTAGE GLASS T-LIGHT HOLDER,148,148,2229,1863.3899999999999,0.8359757738896365
23091,ZINC HERB GARDEN CONTAINER,210,210,584,3681.32,6.3036301369863015
23092,LARGE ANTIQUE WHITE PHOTO FRAME,141,141,515,3695.8300000000004,7.1763689320388355
23093,SMALL PARISIENNE HEART PHOTO FRAME ,143,143,938,2236.75,2.384594882729211
23094,LE GRAND TRAY CHIC SET,79,79,150,1899.92,12.666133333333335
23096,PETIT TRAY CHIC,145,145,1047,1759.7899999999997,1.6807927411652337
23099,FRENCH CARRIAGE LANTERN,60,60,129,872.1500000000001,6.760852713178295
23100,SILVER BELLS TABLE DECORATION,257,257,2168,2741.88,1.2647047970479706
23101,SILVER STARS TABLE DECORATION,212,212,2037,1744.61,0.8564604810996563
23102,SILVER HEARTS TABLE DECORATION,157,157,1288,1086.6499999999999,0.843672360248447
23103,JINGLE BELL HEART DECORATION,366,366,4052,6813.159999999999,1.6814313919052317
23104,IVORY CAFE HANGING LAMP ,46,46,118,1405.42,11.910338983050847
23106,ZINC HEARTS PLANT POT HOLDER,54,54,279,780.9100000000001,2.7989605734767027
23107,WHITE HEARTS WIRE PLANT POT HOLDER,73,73,359,1009.51,2.8120055710306406
23108,SET OF 10 LED DOLLY LIGHTS,380,380,2157,12985.42,6.020129809921187
23109,PACK OF SIX LED TEA LIGHTS,266,266,2305,6639.33,2.880403470715835
23110,PARISIENNE KEY CABINET ,282,282,651,3865.43,5.937680491551459
23111,PARISIENNE SEWING BOX,151,151,288,3556.04,12.34736111111111
23112,PARISIENNE CURIO CABINET,257,257,514,4274.7300000000005,8.3165953307393
23113,PANTRY CHOPPING BOARD,62,62,208,1065.44,5.122307692307692
23114,VINTAGE LEAF CHOPPING BOARD  ,46,46,146,723.1,4.9527397260273975
23115,RED APPLES CHOPPING BOARD   ,45,45,155,785.1700000000001,5.065612903225807
23116,VEGETABLE GARDEN CHOPPING BOARD,22,22,78,392.34,5.029999999999999
23117,POPPY FIELDS CHOPPING BOARD,46,46,92,496.28000000000003,5.394347826086957
23118,PARISIENNE JEWELLERY DRAWER ,271,271,789,5922.18,7.5059315589353615
23119,PACK OF 6 LARGE FRUIT STRAWS ,152,152,2247,1380.0,0.6141522029372497
23120,PACK OF 6 SMALL FRUIT STRAWS,102,102,1644,665.17,0.4046046228710462
23121,PACK OF 6 COCKTAIL PARASOL STRAWS,111,111,2506,1002.54,0.4000558659217877
23122,PARTY CHARMS 50 PIECES,135,135,2250,1725.26,0.7667822222222223
23123,COCKTAIL SWORDS 50 PIECES,97,97,930,755.42,0.8122795698924731
23124,18PC WOODEN CUTLERY SET DISPOSABLE,43,43,567,751.38,1.3251851851851852
23125,6PC WOOD PLATE SET DISPOSABLE,38,38,459,574.88,1.2524618736383442
23126,FELTCRAFT GIRL AMELIE KIT,293,293,1098,5477.59,4.988697632058288
23127,FELTCRAFT GIRL NICOLE KIT,195,195,724,3699.6000000000004,5.109944751381216
23128,FELTCRAFT BOY JEAN-PAUL KIT,140,140,446,2248.76,5.042062780269059
23129,HEART SHAPED HOLLY WREATH,173,173,949,3995.3500000000004,4.210063224446786
23130,MISTLETOE HEART WREATH GREEN,186,186,953,3951.63,4.146516264428122
23131,MISTLETOE HEART WREATH CREAM,115,115,937,3815.2300000000005,4.071750266808965
23132,SMALL IVORY HEART WALL ORGANISER,154,154,1030,5196.1,5.044757281553398
23133,LARGE IVORY HEART WALL ORGANISER,154,154,781,5517.15,7.064212548015364
23134,LARGE ZINC HEART WALL ORGANISER,36,36,1065,6431.11,6.038600938967136
23135,SMALL ZINC HEART WALL ORGANISER,43,43,1541,5416.179999999999,3.5147177157689806
23136,IVORY WIRE SWEETHEART LETTER TRAY,49,49,135,511.89,3.7917777777777775
23137,ZINC WIRE SWEETHEART LETTER TRAY,23,23,83,275.62,3.320722891566265
23138,SINGLE WIRE HOOK IVORY HEART,81,81,872,1221.36,1.4006422018348623
23139,SINGLE WIRE HOOK PINK HEART,26,26,403,512.75,1.272332506203474
23140,TRIPLE WIRE HOOK IVORY HEART,51,51,170,716.3000000000001,4.213529411764706
23141,TRIPLE WIRE HOOK PINK HEART,25,25,79,272.91,3.454556962025317
23142,IVORY WIRE KITCHEN ORGANISER,42,42,119,1201.27,10.09470588235294
23143,ZINC WIRE KITCHEN ORGANISER,16,16,30,239.97,7.999
23144,ZINC T-LIGHT HOLDER STARS SMALL,276,276,5045,4161.3099999999995,0.824838453914767
23145,ZINC T-LIGHT HOLDER STAR LARGE,171,171,2073,1969.0299999999997,0.9498456343463578
23146,TRIPLE HOOK ANTIQUE IVORY ROSE,247,247,751,2491.03,3.3169507323568577
23147,SINGLE ANTIQUE ROSE HOOK IVORY,266,266,1855,2733.35,1.4735040431266846
23148,MINIATURE ANTIQUE ROSE HOOK IVORY,253,253,2131,1809.6699999999998,0.8492116377287657
23149,ANTIQUE IVORY WIRE BOWL SMALL,23,23,88,224.06000000000003,2.546136363636364
23150,IVORY SWEETHEART SOAP DISH,50,50,147,388.26000000000005,2.6412244897959187
23151,ZINC SWEETHEART SOAP DISH,21,21,62,116.82000000000001,1.8841935483870969
23152,IVORY SWEETHEART WIRE LETTER RACK ,162,162,551,2069.4,3.755716878402904
23153,ZINC SWEETHEART WIRE LETTER RACK,91,91,259,1005.6899999999999,3.882972972972973
23154,SET OF 4 JAM JAR MAGNETS,234,234,2671,5780.4800000000005,2.1641632347435418
23155,KNICKERBOCKERGLORY MAGNET ASSORTED ,147,147,2064,1785.02,0.8648352713178294
23156,SET OF 5 MINI GROCERY MAGNETS,207,207,1648,3387.9300000000003,2.0557827669902915
23157,SET OF 6 NATIVITY MAGNETS ,162,162,2330,4726.1,2.0283690987124463
23158,SET OF 5 LUCKY CAT MAGNETS ,257,257,2575,5393.1900000000005,2.094442718446602
23159,SET OF 5 PANCAKE DAY MAGNETS,223,223,2296,4719.76,2.055644599303136
23160,REGENCY TEA SPOON,77,77,1456,1801.98,1.2376236263736264
23161,REGENCY CAKE FORK,98,98,1703,2130.3,1.2509101585437465
23162,REGENCY TEA STRAINER,174,174,1412,5143.6900000000005,3.6428399433427767
23163,REGENCY SUGAR TONGS,208,208,1777,4400.820000000001,2.4765447383230166
23164,REGENCY CAKE SLICE,93,93,577,2713.7000000000003,4.70311958405546
23165,LARGE CERAMIC TOP STORAGE JAR,290,290,3016,4993.16,1.6555570291777189
23166,MEDIUM CERAMIC TOP STORAGE JAR,246,246,3539,4221.28,1.1927889234246962
23167,SMALL CERAMIC TOP STORAGE JAR ,238,238,5322,4110.82,0.7724201428034573
23168,CLASSIC CAFE SUGAR DISPENSER,352,352,3238,4494.31,1.3879894996911675
23169,CLASSIC GLASS COOKIE JAR,344,344,1465,6291.990000000001,4.294873720136519
23170,REGENCY TEA PLATE ROSES ,448,448,6151,10070.75,1.6372541050235734
23171,REGENCY TEA PLATE GREEN ,380,380,6150,9905.74,1.610689430894309
23172,REGENCY TEA PLATE PINK,309,309,3769,6206.61,1.6467524542318916
23173,REGENCY TEAPOT ROSES ,423,423,2718,24482.530000000002,9.007553348050038
23174,REGENCY SUGAR BOWL GREEN,331,331,2969,12005.53,4.043627484001347
23175,REGENCY MILK JUG PINK ,336,336,3084,9374.65,3.0397697795071337
23176,ABC TREASURE BOOK BOX ,235,235,2122,4596.33,2.166036757775683
23177,TREASURE ISLAND BOOK BOX,271,271,2515,5483.04,2.180135188866799
23178,JAM CLOCK MAGNET,71,71,325,929.47,2.8599076923076923
23179,CLOCK MAGNET MUM'S KITCHEN,53,53,324,930.48,2.871851851851852
23180,MUM'S KITCHEN CLOCK,50,50,121,616.14,5.09206611570248
23181,BULL DOG BOTTLE TOP WALL CLOCK,85,85,197,1700.57,8.63233502538071
23182,TOILET SIGN OCCUPIED OR VACANT,437,437,3763,3706.47,0.9849774116396491
23183,MOTHER'S KITCHEN SPOON REST ,87,87,218,937.17,4.29894495412844
23184,BULL DOG BOTTLE OPENER,264,264,861,4700.15,5.4589430894308935
23185,FRENCH STYLE STORAGE JAR JAM,31,31,322,116.3,0.36118012422360246
23186,FRENCH STYLE STORAGE JAR CAFE ,70,70,1970,810.2199999999999,0.41127918781725886
23187,FRENCH STYLE STORAGE JAR BONBONS,75,75,2301,678.5699999999999,0.29490221642764014
23188,VINTAGE  2 METER FOLDING RULER,335,335,3459,6427.969999999999,1.8583318878288522
23189,SET OF 12 FORK CANDLES,141,141,1248,3504.62,2.8081891025641026
23190,BUNDLE OF 3 SCHOOL EXERCISE BOOKS  ,200,200,1700,2758.6,1.6227058823529412
23191,BUNDLE OF 3 RETRO NOTE BOOKS,280,280,2215,3651.99,1.6487539503386004
23192,BUNDLE OF 3 ALPHABET EXERCISE BOOKS,344,344,3530,6137.339999999999,1.738623229461756
23193,BUFFALO BILL TREASURE BOOK BOX,181,181,1910,4052.28,2.121612565445026
23194,GYMKHANA TREASURE BOOK BOX,222,222,1802,4003.12,2.2214872364039957
23196,VINTAGE LEAF MAGNETIC NOTEPAD,295,295,1863,2829.19,1.5186205045625336
23197,SKETCHBOOK MAGNETIC SHOPPING LIST,254,254,1467,2287.5499999999997,1.5593387866394
23198,PANTRY MAGNETIC  SHOPPING LIST,484,484,3282,4975.599999999999,1.5160268129189516
23199,JUMBO BAG APPLES,980,980,14197,29166.4,2.054405860393041
23200,JUMBO BAG PEARS,597,597,6937,13953.65,2.011481908606026
23201,JUMBO BAG ALPHABET,902,902,12785,26814.15,2.0973132577238953
23202,JUMBO BAG VINTAGE LEAF,874,874,10720,21410.350000000002,1.997234141791045
23203,JUMBO BAG VINTAGE DOILY ,1233,1233,19913,40991.38,2.0585235775623962
23204,CHARLOTTE BAG APPLES DESIGN,582,582,7790,7603.6,0.9760718870346599
23205,CHARLOTTE BAG VINTAGE ALPHABET ,467,467,5668,5587.83,0.9858556810162314
23206,LUNCH BAG APPLE DESIGN,1039,1039,12124,20814.829999999998,1.716828604420983
23207,LUNCH BAG ALPHABET DESIGN,744,744,7403,12700.6,1.7156017830609214
23208,LUNCH BAG VINTAGE LEAF DESIGN,667,667,6269,10388.16,1.6570681129366724
23209,LUNCH BAG VINTAGE DOILY ,1101,1101,13149,21384.37,1.626311506578447
23210,WHITE ROCKING HORSE HAND PAINTED,193,193,2702,3398.02,1.2575943745373797
23211,RED ROCKING HORSE HAND PAINTED,161,161,2307,2903.07,1.2583745123537062
23212,HEART WREATH DECORATION WITH BELL,187,187,2240,2790.89,1.2459330357142857
23213,STAR WREATH DECORATION WITH BELL,153,153,1671,2124.67,1.2714961101137043
23214,JINGLE BELL HEART ANTIQUE GOLD,103,103,794,1705.44,2.1479093198992443
23215,JINGLE BELL HEART ANTIQUE SILVER,210,210,3447,6829.84,1.981386713083841
23216,LAUREL HEART ANTIQUE GOLD,44,44,525,630.73,1.2013904761904761
23217,LAUREL HEART ANTIQUE SILVER,97,97,1309,1613.82,1.2328647822765468
23218,LAUREL STAR ANTIQUE GOLD,40,40,379,483.03000000000003,1.2744854881266492
23219,LAUREL STAR ANTIQUE SILVER ,61,61,430,568.6,1.322325581395349
23220,REINDEER HEART DECORATION GOLD,104,104,982,860.02,0.8757841140529531
23221,REINDEER HEART DECORATION SILVER,147,147,1479,1315.7299999999998,0.8896078431372547
23222,CHRISTMAS TREE HANGING GOLD,77,77,775,698.6099999999999,0.901432258064516
23223,CHRISTMAS TREE HANGING SILVER ,89,89,791,741.8899999999999,0.9379140328697849
23224,CHERUB HEART DECORATION GOLD,73,73,724,637.4,0.8803867403314917
23225,CHERUB HEART DECORATION SILVER ,91,91,1272,1107.28,0.8705031446540881
23226,FILIGREE HEART DAISY WHITE,96,96,1199,1536.67,1.28162635529608
23227,FILIGREE HEART BUTTERFLY WHITE ,119,119,1636,2062.56,1.2607334963325183
23228,FILIGREE HEART BIRD WHITE ,126,126,1348,1810.24,1.3429080118694363
23229,VINTAGE DONKEY TAIL GAME ,256,256,1858,6698.82,3.605392895586652
23230,WRAP ALPHABET DESIGN,231,231,7926,3196.92,0.4033459500378501
23231,WRAP DOILEY DESIGN,260,260,7277,3008.34,0.41340387522330635
23232,WRAP VINTAGE LEAF DESIGN,237,237,8575,3457.5,0.4032069970845481
23233,WRAP POPPIES  DESIGN,159,159,5150,2095.0,0.40679611650485437
23234,BISCUIT TIN VINTAGE CHRISTMAS,282,282,1709,5042.21,2.9503861907548274
23235,STORAGE TIN VINTAGE LEAF,110,110,725,1917.23,2.6444551724137932
23236,STORAGE TIN VINTAGE DOILY ,342,342,2476,7010.84,2.831518578352181
23237,SET OF 4 KNICK KNACK TINS LEAF,182,182,1037,4209.1900000000005,4.059006750241081
23238,SET OF 4 KNICK KNACK TINS LONDON ,274,274,1846,7759.96,4.203661971830986
23239,SET OF 4 KNICK KNACK TINS POPPIES,186,186,825,3283.69,3.9802303030303032
23240,SET OF 4 KNICK KNACK TINS DOILY ,546,546,4136,16830.82,4.0693471953578335
23241,TREASURE TIN GYMKHANA DESIGN,364,364,2177,4694.51,2.1564124942581535
23242,TREASURE TIN BUFFALO BILL ,214,214,1449,2980.9500000000003,2.0572463768115945
23243,SET OF TEA COFFEE SUGAR TINS PANTRY,498,498,4688,22968.62,4.899449658703071
23244,ROUND STORAGE TIN VINTAGE LEAF,115,115,927,1717.0299999999997,1.8522437971952532
23245,SET OF 3 REGENCY CAKE TINS,900,900,6267,30756.45,4.907683101962662
23247,BISCUIT TIN 50'S CHRISTMAS,313,313,2160,6597.39,3.0543472222222223
23249,VINTAGE RED ENAMEL TRIM PLATE,86,86,799,1358.1899999999998,1.6998623279098872
23250,VINTAGE RED TRIM ENAMEL BOWL ,116,116,1058,1389.23,1.3130718336483933
23251,VINTAGE RED ENAMEL TRIM MUG ,125,125,1655,2034.5,1.2293051359516616
23252,VINTAGE RED ENAMEL TRIM JUG ,144,144,574,2152.86,3.750627177700349
23253,16 PIECE CUTLERY SET PANTRY DESIGN,72,72,256,3816.96,14.91
23254,CHILDRENS CUTLERY DOLLY GIRL ,302,302,1690,6849.160000000001,4.052757396449705
23255,CHILDRENS CUTLERY CIRCUS PARADE,159,159,1006,4064.02,4.039781312127237
23256,CHILDRENS CUTLERY SPACEBOY ,372,372,2027,8337.37,4.113157375431673
23263,SET OF 3 WOODEN HEART DECORATIONS,447,447,3846,5125.94,1.3327977119084762
23264,SET OF 3 WOODEN SLEIGH DECORATIONS,298,298,1965,2693.31,1.3706412213740458
23265,SET OF 3 WOODEN TREE DECORATIONS,291,291,1769,2404.79,1.359406444318824
23266,SET OF 3 WOODEN STOCKING DECORATION,318,318,2052,2742.57,1.3365350877192983
23267,SET OF 4 SANTA PLACE SETTINGS,109,109,1154,1471.95,1.27551993067591
23268,SET OF 2 CERAMIC CHRISTMAS REINDEER,88,88,1628,2002.1899999999998,1.2298464373464373
23269,SET OF 2 CERAMIC CHRISTMAS TREES,94,94,786,1163.1299999999999,1.4798091603053434
23270,SET OF 2 CERAMIC PAINTED HEARTS ,126,126,1273,1650.6699999999998,1.2966771406127258
23271,CHRISTMAS TABLE SILVER CANDLE SPIKE,104,104,1734,1499.3799999999999,0.8646943483275662
23272,TREE T-LIGHT HOLDER WILLIE WINKIE,44,44,364,562.2199999999999,1.5445604395604393
23273,HEART T-LIGHT HOLDER WILLIE WINKIE,116,116,965,1642.4499999999998,1.7020207253886008
23274,STAR T-LIGHT HOLDER WILLIE WINKIE,122,122,1180,2004.9999999999998,1.6991525423728813
23275,SET OF 3 HANGING OWLS OLLIE BEAK,325,325,3672,4462.56,1.2152941176470589
23280,FOLDING BUTTERFLY MIRROR HOT PINK ,157,157,2022,1613.33,0.7978882294757665
23281,FOLDING BUTTERFLY MIRROR RED  ,101,101,1280,1000.8199999999999,0.781890625
23282,FOLDING BUTTERFLY MIRROR IVORY ,134,134,812,757.8599999999999,0.9333251231527092
23283,DOORMAT VINTAGE LEAF,231,231,987,6945.93,7.037416413373861
23284,DOORMAT KEEP CALM AND COME IN,717,717,5266,36565.39,6.943674515761488
23285,PINK VINTAGE SPOT BEAKER,191,191,4805,4570.71,0.9512403746097815
23286,BLUE VINTAGE SPOT BEAKER,223,223,4999,4705.97,0.9413822764552912
23287,RED VINTAGE SPOT BEAKER,199,199,1840,1570.24,0.8533913043478261
23288,GREEN VINTAGE SPOT BEAKER,189,189,4607,4429.0599999999995,0.9613761667028434
23289,DOLLY GIRL CHILDRENS BOWL,195,195,1610,1998.7,1.2414285714285715
23290,SPACEBOY CHILDRENS BOWL,216,216,2427,2886.6,1.1893695920889986
23291,DOLLY GIRL CHILDRENS CUP,196,196,1625,2047.78,1.2601723076923077
23292,SPACEBOY CHILDRENS CUP,226,226,2161,2678.33,1.2393937991670523
23293,SET OF 12 FAIRY CAKE BAKING CASES,551,551,8454,6975.429999999999,0.8251040927371658
23294,SET OF 6 SNACK LOAF BAKING CASES,354,354,4407,3620.2599999999998,0.821479464488314
